,English,translated_phrase
0,Could you please give me my balance?,¿Me podría dar mi saldo por favor?
1,"I would like to request my current balance, please.","Me gustaría solicitar mi saldo actual, por favor."
2,"Can you provide me with my balance, please?","¿Me puede proporcionar mi saldo, por favor?"
3,May I ask for the current balance in my account?,¿Puedo solicitar el saldo actual de mi cuenta?
4,I'd appreciate it if you could give me an update on my balance.,Le agradecería si pudiera darme una actualización de mi saldo.
5,"Could you let me know the current balance in my account, please?","¿Podría indicarme el saldo actual de mi cuenta, por favor?"
6,"Please, can you inform me of my current balance?","Por favor, ¿puede informarme de mi saldo actual?"
7,"I'd like to inquire about my current balance, if possible.","Me gustaría preguntar sobre mi saldo actual, si es posible."
8,Would it be possible to check and share my current balance?,¿Sería posible consultar y compartir mi saldo actual?
9,"Can you give me the information regarding my current balance, please?","¿Me puede dar la información sobre mi saldo actual, por favor?"
